사건,신고시각,출동시각,현장도착시각,구조완료시각,복귀시각,신고,출동,구조,복귀,현장시도명,현장시군구명,손상지역경도,손상지역위도,사고원인명,소방서명,센터명,처리결과구분명,계절명
45,2023.1.8 2:20,2023.1.8 2:21,2023.1.8 2:22,2023.1.8 2:30,2023.1.8 2:35,0:01,0:01,0:08,0:05,서울특별시,서초구,126.9806834,37.50612038,기타 수난 ,119특수구조단,수난구조대,타기관 인계,겨울
46,2023.1.8 3:24,2023.1.8 3:25,2023.1.8 3:26,2023.1.8 3:30,2023.1.8 3:40,0:01,0:01,0:04,0:10,서울특별시,성동구,127.034891,37.53604085,기타 수난 ,119특수구조단,뚝섬수난구조대,타기관 인계,겨울
47,2023.1.8 11:37,2023.1.8 11:38,2023.1.8 11:41,2023.1.8 11:44,2023.1.8 12:05,0:01,0:03,0:03,0:21,서울특별시,마포구,126.9285101,37.54219545,기타 수난 ,119특수구조단,여의도수난구조대,타기관 인계,겨울
48,2023.1.8 12:08,2023.1.8 12:11,2023.1.8 12:11,2023.1.8 12:11,2023.1.8 12:13,0:03,0:00,0:00,0:02,서울특별시,용산구,126.9532591,37.52342501,사체인양,마포소방서,구조대,타 기관처리,겨울
49,2023.1.8 12:08,2023.1.8 12:11,2023.1.8 12:17,2023.1.8 12:32,2023.1.8 12:40,0:03,0:06,0:15,0:08,서울특별시,용산구,126.9532591,37.52342501,사체인양,119특수구조단,여의도수난구조대,타기관 인계,겨울
50,2023.1.8 18:52,2023.1.8 18:53,2023.1.8 18:57,2023.1.8 19:40,2023.1.8 19:50,0:01,0:04,0:43,0:10,서울특별시,영등포구,126.901697,37.54099257,기타 수난 ,영등포소방서,당산119안전센터,타 기관처리,겨울
51,2023.1.8 18:52,2023.1.8 18:53,2023.1.8 18:58,2023.1.8 19:45,2023.1.8 20:05,0:01,0:05,0:47,0:20,서울특별시,영등포구,126.901697,37.54099257,기타 수난 ,영등포소방서,구조대,인명검색,겨울
52,2023.1.8 18:52,2023.1.8 18:53,2023.1.8 18:57,2023.1.8 19:45,2023.1.8 20:10,0:01,0:04,0:48,0:25,서울특별시,영등포구,126.901697,37.54099257,사체인양,119특수구조단,여의도수난구조대,타기관 인계,겨울
53,2023.1.8 21:04,2023.1.8 21:06,2023.1.8 21:18,2023.1.8 21:30,2023.1.8 21:40,0:02,0:12,0:12,0:10,서울특별시,동작구,126.9744859,37.504772,기타 수난 ,관악소방서,구조대,자체처리,겨울
54,2023.1.8 21:04,2023.1.8 21:06,2023.1.8 21:18,2023.1.8 21:22,2023.1.8 21:30,0:02,0:12,0:04,0:08,서울특별시,동작구,126.9744859,37.504772,수색,119특수구조단,반포수난구조대,인명검색,겨울
55,2023.1.8 23:12,2023.1.8 23:14,2023.1.8 23:20,2023.1.8 23:25,2023.1.8 23:35,0:02,0:06,0:05,0:10,서울특별시,송파구,127.1066118,37.51296669,기타 수난 ,강동소방서,구조대,안전조치,겨울
